player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
Charles Hathaway,C,2001-02,-%,-,-,6' 8'',,8' 11.5'',274,7' 2'',-,-,-,-,-,-
Brendan Haywood,C,2001-02,12.90%,-,-,6' 11.75'',,9' 5.5'',266,7' 6.5'',12.87,-,3.5,27,28.5,17
Michael Hicks,SG,2001-02,7.30%,-,-,6' 4'',,8' 4.5'',197,6' 9.25'',11.38,-,3.19,33,40.5,13
Steven Hunter,C-PF,2001-02,5.30%,-,-,6' 10.25'',,9' 0'',224,7' 4'',11.99,-,3.15,30.5,38.5,11
Andre Hutson,PF,2001-02,11.70%,-,-,6' 8.25'',,8' 9.5'',244,6' 11.75'',11.25,-,3.3,29,32.5,17
Nate James,SF,2001-02,6.00%,-,-,6' 4.75'',,8' 7'',196,6' 10.75'',11.42,-,3.31,26,31,23
Richard Jefferson,SF,2001-02,6.70%,-,-,6' 7.25'',,8' 7'',223,7' 0'',11.19,-,3.15,33,38.5,14
Horace Jenkins,PG,2001-02,6.00%,-,-,5' 11.75'',,8' 1'',171,6' 5.25'',10.97,-,3.1,34.5,41,2
Darrell Johns,C,2001-02,19.10%,-,-,6' 11.25'',,9' 3.5'',278,7' 5'',12.41,-,3.59,23.5,30,18
Ken Johnson,C,2001-02,9.90%,-,-,6' 10.75'',,9' 1.5'',227,7' 4'',11.27,-,3.12,32.5,35,13
Joe Johnson,SF-SG,2001-02,6.70%,-,-,6' 6.75'',,8' 9'',226,6' 9'',12.05,-,3.4,32.5,36.5,12
Darren Kelly,SG-PG,2001-02,6.70%,-,-,6' 2'',,8' 4'',178,6' 6.75'',11.38,-,3.21,30.5,34.5,1
Sean Lampley,SF,2001-02,8.00%,-,-,6' 5.5'',,8' 5'',213,6' 9.25'',11.06,-,3.12,36,40,12
Zach Marbury,PG-SG,2001-02,6.70%,-,-,6' 1.25'',,8' 0.5'',183,6' 3.5'',11.53,-,3.1,33,36.5,-
Mike Mardesich,C-PF,2001-02,13.60%,-,-,6' 10.25'',,9' 0.5'',247,7' 0.5'',11.65,-,3.45,24,30,8
DeMarcus Minor,SG,2001-02,6.70%,-,-,6' 3.25'',,8' 3.5'',207,6' 8.25'',10.57,-,3.15,29,41,9
Jamario Moon,SF,2001-02,5.30%,-,-,6' 6.5'',,8' 7'',185,6' 11.5'',11.64,-,3.08,33,43,-
Troy Murphy,PF,2001-02,11.70%,-,-,6' 9.75'',,8' 9.5'',230,6' 11'',11.22,-,3.43,28.5,34.5,11
Troy Ostler,PF-SF,2001-02,8.00%,-,-,6' 8.75'',,8' 10.5'',200,7' 1.5'',13.42,-,3.5,26.5,29.5,2
Lazaros Papadopoulos,C-PF,2001-02,11.70%,-,-,6' 10.25'',,9' 2.5'',227,7' 2.5'',12,-,3.7,23,26,4
Rashad Phillips,PG,2001-02,12.40%,-,-,5' 9'',,7' 8'',166,6' 1.5'',11.93,-,3.27,27,32,5
Demetrius Porter,PG,2001-02,12.40%,-,-,5' 10.75'',,7' 10'',178,6' 2.75'',11.5,-,3.34,26,31,5
Martin Rancik,PF-SF,2001-02,8.00%,-,-,6' 8.75'',,8' 6.5'',230,6' 8'',10.77,-,3.19,32,37,14
Jason Richardson,SF-SG,2001-02,5.30%,-,-,6' 4.75'',,8' 6.5'',213,6' 11.5'',11.75,-,3.12,32.5,39.5,15
Norman Richardson,SG,2001-02,6.00%,-,-,6' 3.5'',,8' 3'',180,6' 4.5'',10.97,-,3.15,30.5,35.5,2
Jeryl Sasser,PG-SG,2001-02,6.70%,-,-,6' 5.5'',,8' 7.5'',194,6' 10.5'',11.47,-,3.22,29,34,1
Kenny Satterfield,PG,2001-02,6.70%,-,-,6' 1'',,8' 2'',176,6' 4.5'',12.05,-,3.2,28.5,33,3
Brian Scalabrine,PF-SF,2001-02,13.60%,-,-,6' 8.75'',,8' 9.5'',241,6' 9.75'',11.75,-,3.47,27,30.5,14
Lee Scruggs,PF-SF,2001-02,10.50%,-,-,6' 10.25'',,9' 2.5'',209,7' 5.75'',13.28,-,3.55,23.5,29.5,-
Bobby Simmons,SF,2001-02,6.70%,-,-,6' 6.25'',,8' 9'',235,7' 0.25'',11.69,-,3.41,27.5,34,12
Will Solomon,PG-SG,2001-02,4.00%,-,-,5' 11.75'',,8' 3.5'',172,6' 9.5'',11.3,-,3.22,28.5,35,4
Greg Stevenson,SF,2001-02,7.30%,-,-,6' 3.75'',,8' 6'',215,7' 0.5'',11.29,-,3.23,30,35.5,15
Damone Thornton,PF,2001-02,8.00%,-,-,6' 6.75'',,8' 7.75'',235,7' 1.75'',11.17,-,3.2,33.5,37.5,19
Jamaal Tinsley,PG,2001-02,13.60%,-,-,6' 0.75'',,8' 1.5'',199,6' 7.5'',11.96,-,3.2,28,37.5,1
Tory Walker,SF,2001-02,6.70%,-,-,6' 6.75'',,8' 8.5'',187,6' 11.25'',11.95,-,3.25,28,33,7
Souleymane Wane,C,2001-02,11.20%,-,-,6' 8.5'',,9' 1'',235,7' 5'',12.02,-,3.46,29,30.5,9
Earl Watson,PG,2001-02,4.00%,-,-,6' 0'',,8' 1'',184,6' 6.75'',10.97,-,3.19,32.5,37.5,4
Rodney White,SF,2001-02,9.30%,-,-,6' 7.5'',,8' 8.5'',243,6' 11.5'',12.07,-,3.47,27.5,33,16
Loren Woods,C-PF,2001-02,9.30%,-,-,7' 0.75'',,9' 5'',246,7' 5.5'',11.83,-,3.48,24.5,28,10
Michael Wright,PF,2001-02,9.30%,-,-,6' 7'',,8' 10.5'',247,6' 11.5'',11.37,-,3.21,27.5,33.5,18
Brent Wright,PF-SF,2001-02,12.40%,-,-,6' 7.75'',,8' 9.5'',236,7' 1.5'',12.25,-,3.3,23,29,19
Nene,PF,2002-03,-%,-,-,6' 9.25'',,9' 1'',253,7' 4.5'',10.73,-,3.19,30,34,16
Robert Archibald,PF-C,2002-03,-%,-,-,6' 10'',,9' 1.5'',250,6' 11.75'',11.34,-,3.33,24,27.5,10
Maurice Baker,PG,2002-03,-%,-,-,5' 11.75'',,8' 0'',178,6' 4'',12.19,-,3.29,29.5,33,2
Matt Barnes,SF,2002-03,-%,-,-,6' 6.75'',,8' 0.5'',226,6' 9'',10.68,-,3.28,35.5,40.5,11
Lubos Barton,SF-SG,2002-03,-%,-,-,6' 6.5'',,8' 11'',221,7' 0'',11.2,-,3.31,25.5,31.5,14
Lonny Baxter,PF-C,2002-03,-%,-,-,6' 6.25'',,8' 11.5'',264,7' 1.5'',11.77,-,3.21,28,32.5,14
Lee Benson,SF-PF,2002-03,-%,-,-,6' 8.25'',,9' 1'',217,7' 1.75'',11.44,-,3.29,27.5,32.5,14
Carlos Boozer,PF,2002-03,-%,-,-,6' 7.75'',,9' 0.5'',258,7' 2.25'',10.77,-,3.31,26.5,28.5,13
Curtis Borchardt,C,2002-03,-%,-,-,6' 10.75'',,9' 4'',238,7' 2.5'',12.56,-,3.63,24,27,7
J.R. Bremer,SG-PG,2002-03,-%,-,-,6' 1.25'',,8' 0'',188,6' 2.25'',10.93,-,3.1,30,35.5,24
Brian Brown,PG-SG,2002-03,-%,-,-,6' 2.5'',,8' 3'',194,6' 7'',11.43,-,3.29,26,33,8
Sylvere Bryan,PF,2002-03,-%,-,-,6' 9'',,9' 1.5'',226,7' 4.5'',12.03,-,3.2,28.5,29.5,13
Chris Burgess,C,2002-03,-%,-,-,6' 10'',,9' 1'',246,6' 11.5'',11.58,-,3.37,24.5,31,24
Caron Butler,SF-SG,2002-03,-%,-,-,6' 5.25'',,8' 7.5'',222,6' 11.5'',12.15,-,3.33,27,31,2
Rasual Butler,SF,2002-03,-%,-,-,6' 6.75'',,8' 9.5'',198,7' 0'',11.54,-,3.29,31.5,37.5,10
Mire Chatman,PG-SG,2002-03,-%,-,-,6' 0'',,8' 2'',174,6' 6'',11.12,-,3.18,29,33,1
Chris Christoffersen,C,2002-03,-%,-,-,7' 0.75'',,9' 1'',291,7' 3.5'',12.55,-,3.39,28,31,13
Lenny Cooke,SG-SF,2002-03,-%,-,-,6' 5.5'',,8' 11'',214,7' 1'',-,-,-,-,-,-
Craig Dawson,SG-SF,2002-03,-%,-,-,6' 3.5'',,8' 6'',200,6' 6.25'',12.06,-,3.25,26,30,-
Mike Dunleavy,SF,2002-03,-%,-,-,6' 8'',,8' 10'',230,6' 9'',11.55,-,3.3,24.5,29,11
Teddy Dupay,PG,2002-03,-%,-,-,5' 9.5'',,7' 6.5'',178,5' 10.75'',10.53,-,3.19,28,33,16
Corsley Edwards,PF,2002-03,-%,-,-,6' 7.25'',,8' 10.5'',285,6' 10.75'',12.18,-,3.31,28.5,33,12
Andy Ellis,PF,2002-03,-%,-,-,6' 9.25'',,8' 6'',220,6' 10.25'',11.69,-,3.34,32,35.5,6
Melvin Ely,PF,2002-03,-%,-,-,6' 9'',,9' 3'',240,7' 4'',11.96,-,3.35,26,29,7
Reggie Evans,PF,2002-03,-%,-,-,6' 7.5'',,8' 11.5'',250,7' 2.5'',12.73,-,3.26,26,29.5,15
Peter Fehse,PF-C,2002-03,-%,-,-,6' 10'',,9' 1'',220,7' 0.5'',-,-,-,-,-,-
Drew Gooden,PF,2002-03,-%,-,-,6' 8.75'',,8' 10.5'',227,7' 0.5'',11.81,-,3.19,29,33,13
David Graves,SG,2002-03,-%,-,-,6' 4.5'',,8' 5'',212,6' 7'',11.2,-,3.27,26,29.5,8
Lynn Greer,PG,2002-03,-%,-,-,6' 0.25'',,7' 10.5'',170,6' 1'',11.24,-,3.16,29.5,36.5,12
Rod Grizzard,SF-SG,2002-03,-%,-,-,6' 6'',,8' 11'',193,7' 0'',-,-,-,-,-,6
Anthony Grundy,PG-SG,2002-03,-%,-,-,6' 0.75'',,8' 3'',167,6' 7.75'',11.1,-,3.39,27.5,32,-
Marcus Haislip,PF,2002-03,-%,-,-,6' 8.5'',,8' 11'',221,7' 0'',11.35,-,3.21,33.5,36.5,8
Damon Hancock,SG-PG,2002-03,-%,-,-,6' 2.75'',,8' 3.5'',203,6' 6'',11.62,-,3.03,32,35,15
Greg Harrington,PG,2002-03,-%,-,-,6' 1'',,8' 1'',183,6' 3.75'',12.06,-,3.32,28.5,34,15
Udonis Haslem,PF,2002-03,-%,-,-,6' 7.75'',,8' 11'',250,6' 11'',11.8,-,3.31,28.5,33.5,22
Cordell Henry,PG,2002-03,-%,-,-,5' 8'',,7' 8'',155,6' 1'',11.3,-,3.04,33,37.5,1
Randy Holcomb,SF-PF,2002-03,-%,-,-,6' 7'',,8' 9'',225,7' 1'',12.85,-,3.22,29.5,35.5,15
Ryan Humphrey,PF-SF,2002-03,-%,-,-,6' 6'',,8' 8.5'',223,7' 0'',11.75,-,3.2,31.5,37.5,13
Jared Jeffries,PF,2002-03,-%,-,-,6' 10'',,9' 1'',230,7' 0.5'',11.73,-,3.4,26,30,9
Jason Jennings,C,2002-03,-%,-,-,6' 11.25'',,9' 3'',249,7' 7'',11.92,-,3.62,29,32,8
Fred Jones,SG,2002-03,-%,-,-,6' 2.25'',,8' 4'',218,7' 0'',11.12,-,3.13,33.5,37.5,-
Lonnie Jones,C-PF,2002-03,-%,-,-,6' 10.25'',,9' 4'',230,7' 2.25'',11.8,-,3.33,30.5,31.5,15
Mario Kasun,C,2002-03,-%,-,-,6' 11.75'',,9' 1'',260,6' 11.5'',-,-,-,-,-,12
Sean Kennedy,PG,2002-03,-%,-,-,6' 0.75'',,8' 0'',182,6' 2.5'',11.64,-,3.28,22.5,26.5,-
Kris Lang,C-PF,2002-03,-%,-,-,6' 9.25'',,9' 1'',242,6' 11.75'',11.36,-,3.24,28,29,19
Muhammed Lasege,C-PF,2002-03,-%,-,-,6' 8.75'',,9' 0.5'',228,7' 2'',12.96,-,3.29,27.5,30,18
Steve Logan,PG,2002-03,-%,-,-,5' 10'',,7' 8.5'',207,5' 11.75'',-,-,-,-,-,11
Kevin Lyde,C-PF,2002-03,-%,-,-,6' 8.75'',,9' 1.5'',278,7' 2'',12.97,-,3.36,27.5,30.5,13
Tito Maddox,PG,2002-03,-%,-,-,6' 3'',,8' 3'',200,6' 5'',12.2,-,3.24,27,32.5,-
Kei Madison,SF,2002-03,-%,-,-,6' 7.75'',,8' 11'',216,7' 0.5'',11.74,-,3.22,27.5,34.5,6
Chris Massie,PF,2002-03,-%,-,-,6' 6.25'',,8' 11'',248,7' 0'',-,-,-,-,-,-
Immanuel McElroy,SG,2002-03,-%,-,-,6' 2.25'',,8' 4'',191,6' 6.5'',-,-,-,-,-,9
Aaron McGhee,PF-SF,2002-03,-%,-,-,6' 7'',,8' 9.5'',255,6' 10'',12.24,-,-,26,28.5,-
Elvin Mims,SF-SG,2002-03,-%,-,-,6' 4.25'',,8' 9.5'',211,7' 1.5'',11.17,-,3.22,32,38,7
Byron Mouton,SG-SF,2002-03,-%,-,-,6' 4.5'',,8' 6'',213,6' 10.25'',11.84,-,3.1,24,30,7
Ronald Murray,SG,2002-03,-%,-,-,6' 3'',,8' 4.5'',197,6' 7.5'',11.13,-,3.16,31,36.5,9
Uche Okafor,PF-C,2002-03,-%,-,-,6' 9'',,9' 4'',229,7' 5.5'',14.45,-,3.34,24.5,25,10
Chris Owens,PF-SF,2002-03,-%,-,-,6' 7'',,8' 8'',237,6' 11.5'',-,-,-,-,-,10
Jannero Pargo,PG,2002-03,-%,-,-,6' 0.25'',,8' 0'',168,6' 2.5'',11.11,-,3.2,25.5,29.5,5
Smush Parker,PG-SG,2002-03,-%,-,-,6' 2.5'',,8' 11.5'',179,6' 10'',12.3,-,3.26,21,28.5,1
Luke Recker,SG-SF,2002-03,-%,-,-,6' 4.75'',,8' 5'',198,6' 7'',10.78,-,3.27,25.5,31,13
Rolan Roberts,PF,2002-03,-%,-,-,6' 5.75'',,8' 9.5'',241,7' 1'',11.36,-,3.33,32.5,37.5,16
Travis Robinson,SF,2002-03,-%,-,-,6' 5.25'',,8' 8.5'',211,6' 10.5'',11.96,-,3.43,26,33,3
Kareem Rush,SG-SF,2002-03,-%,-,-,6' 4.75'',,8' 7.5'',199,6' 9.75'',11.86,-,3.22,26,30,15
Brooks Sales,PF-C,2002-03,-%,-,-,6' 9'',,9' 0'',232,6' 10'',11.05,-,3.29,26,29.5,13
John Salmons,SF-SG,2002-03,-%,-,-,6' 5.5'',,8' 8'',207,6' 10.25'',11.35,-,3.25,30.5,34.5,12
Predrag Savovic,SG,2002-03,-%,-,-,6' 4.75'',,8' 6'',212,6' 7'',10.94,-,3.38,22.5,28.5,13
Julian Sensley,PF-SF,2002-03,-%,-,-,6' 7'',,8' 9.5'',228,6' 11.5'',11.85,-,3.32,27.5,31.5,8
Israel Sheinfeld,PF-C,2002-03,-%,-,-,6' 8.25'',,8' 10.5'',239,6' 9.75'',-,-,-,-,-,8
Preston Shumpert,SF,2002-03,-%,-,-,6' 6'',,8' 7.5'',197,6' 8.5'',11.03,-,3.24,28.5,29,9
Tamar Slay,SF,2002-03,-%,-,-,6' 6.75'',,8' 8'',203,6' 11.5'',10.94,-,3.09,32.5,38,11
Darius Songaila,PF,2002-03,-%,-,-,6' 8'',,9' 0.5'',240,7' 1'',11.69,-,3.52,24.5,29.5,8
Amar'e Stoudemire,PF,2002-03,-%,-,-,6' 8.5'',,9' 0.5'',233,7' 1.75'',11.19,-,3.25,32,35.5,12
Marcus Taylor,PG,2002-03,-%,-,-,6' 1'',,8' 2.5'',181,6' 4.5'',11.25,-,3.31,27.5,33.5,4
Jobey Thomas,SG,2002-03,-%,-,-,6' 2.75'',,8' 3.5'',183,6' 5.75'',11.46,-,3.3,26,32,13
Dajuan Wagner,PG-SG,2002-03,-%,-,-,6' 0.75'',,8' 3'',193,6' 2'',12.03,-,3.22,28,35,16
Chris Wilcox,PF-C,2002-03,-%,-,-,6' 8.25'',,8' 11.5'',218,7' 1'',11.43,-,3.16,31,34.5,20
Frank Williams,PG,2002-03,-%,-,-,6' 1.5'',,8' 4.5'',212,6' 8'',11.73,-,3.29,26,31,-
George Williams,PF-SF,2002-03,-%,-,-,6' 5.75'',,8' 7'',214,7' 0.5'',11.21,-,3.24,33.5,39,11
Jay Williams,PG,2002-03,-%,-,-,6' 0.25'',,8' 1'',197,6' 3.5'',10.34,-,3.09,28.5,36,10
Qyntel Woods,SF-SG,2002-03,-%,-,-,6' 7'',,8' 9'',213,6' 10'',11.94,-,3.23,33.5,34.5,2
Vincent Yarbrough,SF,2002-03,-%,-,-,6' 5.5'',,8' 8.5'',202,7' 0.5'',11.7,-,3.32,30,34,10
Aloysius Anagonye,PF,2003-04,10.50%,-,-,6' 6.75'',,8' 10'',257,7' 2.5'',12.93,-,3.3,31,34.5,6
Rick Anderson,SF-PF,2003-04,9.90%,-,-,6' 8.25'',,8' 10.5'',216,6' 11'',11.23,-,3.4,26,30.5,6
Carmelo Anthony,SF,2003-04,8.00%,-,-,6' 6.25'',,8' 9.5'',233,7' 0'',11.4,-,3.15,30.5,33.5,7
Jerome Beasley,SF-PF,2003-04,9.90%,-,-,6' 9'',,8' 11'',237,7' 0.5'',11.36,-,3.25,27,32,10
Troy Bell,PG,2003-04,5.30%,-,-,6' 0.25'',,8' 1.5'',178,6' 5'',10.89,-,3.06,34.5,41,17
LaVell Blanchard,SF,2003-04,11.70%,-,-,6' 6'',,8' 5.5'',205,6' 6'',11.64,-,3.38,33.5,36.5,12
Keith Bogans,SG,2003-04,8.00%,-,-,6' 4.25'',,8' 5'',213,6' 9.25'',11.43,-,3.25,29.5,35,10
Matt Bonner,PF-SF,2003-04,13.60%,-,-,6' 8.5'',,8' 9.5'',242,6' 8.75'',11.52,-,3.32,27,32,20
Chris Bosh,PF,2003-04,8.00%,-,-,6' 10.25'',,9' 1'',225,7' 3.5'',11.8,-,3.3,30.5,33,9
Jermaine Boyette,PG-SG,2003-04,7.30%,-,-,6' 1'',,8' 0'',187,6' 4'',11.2,-,3.07,29,35.5,14
Souleymane Camara,PF-SF,2003-04,9.90%,-,-,6' 9.75'',,9' 1'',211,7' 2.25'',11.51,-,3.2,28.5,34.5,2
Matt Carroll,SG-SF,2003-04,6.70%,-,-,6' 5'',,8' 2.5'',207,6' 6.5'',11.11,-,3.35,29,33.5,13
Nick Collison,PF,2003-04,17.00%,-,-,6' 8.75'',,9' 0'',255,7' 1.5'',11.62,-,3.28,28,33,8
Brian Cook,PF-SF,2003-04,10.50%,-,-,6' 9.5'',,9' 1'',234,7' 2'',11.87,-,3.45,25,29,6
Joel Cornette,PF-SF,2003-04,12.90%,-,-,6' 8.25'',,8' 9.5'',239,6' 9.25'',11.27,-,3.14,26,32.5,13
Marquis Daniels,SG-PG,2003-04,4.00%,-,-,6' 5.25'',,8' 7.5'',198,6' 10'',11.62,-,3.25,30.5,35,6
Aleksander Djuric,C-PF,2003-04,16.30%,-,-,6' 10'',,9' 0'',253,7' 0'',11.97,-,3.65,23.5,27.5,3
Ruben Douglas,SG,2003-04,6.00%,-,-,6' 3.5'',,8' 4.5'',193,6' 7.25'',11.95,-,3.27,28.5,35,9
Ronald Dupree,SF-SG,2003-04,6.70%,-,-,6' 6'',,8' 5'',209,6' 8.25'',11.09,-,3.23,37.5,41.5,11
Carl English,SG-PG,2003-04,8.00%,-,-,6' 4'',,8' 2.5'',201,6' 5.25'',11.77,-,3.32,28,34,11
Ebi Ere,SG,2003-04,14.10%,-,-,6' 3.5'',,8' 6'',210,6' 10.5'',11.38,-,3.16,29.5,33.5,-
Marquis Estill,PF-C,2003-04,11.70%,-,-,6' 8.5'',,9' 0'',257,7' 4'',12.92,-,3.31,30,36,7
T.J. Ford,PG,2003-04,6.70%,-,-,5' 11'',,7' 9.5'',162,5' 11.5'',11.45,-,3.2,32.5,39.5,-
Jason Gardner,PG,2003-04,9.30%,-,-,5' 9.75'',,7' 8'',194,6' 1'',10.62,-,3.17,30.5,35,10
Willie Green,SG-PG,2003-04,8.00%,-,-,6' 2.5'',,8' 4'',201,6' 7.25'',11.86,-,3.19,28.5,28.5,13
Justin Hamilton,PG-SG,2003-04,8.00%,-,-,6' 3'',,8' 7'',217,6' 11'',11.18,-,3.18,30,37.5,17
Travis Hansen,SG,2003-04,6.00%,-,-,6' 4.5'',,8' 4.5'',200,6' 6.5'',10.72,-,3.18,31.5,35,16
Trevor Harvey,C-PF,2003-04,10.50%,-,-,6' 9.5'',,9' 1.5'',245,7' 1'',11.85,-,3.32,29.5,32,11
Marcus Hatten,PG,2003-04,4.00%,-,-,6' 0.75'',,8' 2'',163,6' 6.25'',11.5,-,3.15,29.5,37.5,7
Kirk Hinrich,PG-SG,2003-04,5.30%,-,-,6' 2.75'',,8' 2.5'',186,6' 6'',10.98,-,3.1,29,33.5,10
Jerry Holman,PF,2003-04,6.00%,-,-,6' 8.75'',,9' 1.5'',232,7' 3.25'',11.54,-,3.24,33,37.5,11
Sam Hoskin,PF,2003-04,-%,-,-,6' 7.25'',,8' 11.5'',261,6' 10.75'',-,-,-,-,-,24
Josh Howard,SF-SG,2003-04,6.00%,-,-,6' 5.25'',,8' 9.5'',202,7' 2'',10.89,-,3.09,33,36.5,4
Brandon Hunter,PF,2003-04,8.00%,-,-,6' 6.5'',,8' 9.5'',266,7' 2.75'',11.13,-,3.21,32.5,35,25
Sani Ibrahim,C-PF,2003-04,9.30%,-,-,6' 8.5'',,9' 1.5'',229,7' 1'',13.02,-,3.4,26,30.5,12
Michael Ignerski,PF-SF,2003-04,10.50%,-,-,6' 9.5'',,8' 11'',232,6' 10.75'',11.21,-,3.13,26.5,33,10
Robert Jackson,PF-C,2003-04,15.90%,-,-,6' 7.75'',,8' 11.5'',254,7' 0'',11.26,-,3.25,23.5,26,15
LeBron James,SF-SG,2003-04,6.70%,-,-,6' 7.25'',,8' 10.25'',245,7' 0.25'',-,-,-,-,-,-
Britton Johnsen,SF-PF,2003-04,7.30%,-,-,6' 10'',,8' 11.5'',212,6' 10.75'',10.67,-,3.08,26.5,32.5,13
James Jones,SF,2003-04,6.70%,-,-,6' 7.25'',,8' 11.5'',218,7' 2.5'',11.18,-,3.19,30.5,33,9
Dahntay Jones,SG-SF,2003-04,2.60%,-,-,6' 4.75'',,8' 6.5'',214,6' 9'',10.91,-,3.11,30,39.5,-
Chris Kaman,C-PF,2003-04,16.30%,-,-,6' 11.5'',,9' 2.5'',252,6' 11.75'',11.33,-,3.37,23.5,30.5,15
Jason Kapono,SG-SF,2003-04,11.70%,-,-,6' 6.5'',,8' 6'',215,6' 6.5'',11.04,-,3.38,23.5,30,8
Jason Keep,C-PF,2003-04,8.60%,-,-,6' 9.75'',,8' 10.5'',270,7' 0.5'',11.18,-,3.3,29.5,34,27
Bernard King,SG-PG,2003-04,12.90%,-,-,6' 3.75'',,8' 2.5'',200,6' 5.5'',11.37,-,3.18,28,33.5,11
Brandin Knight,PG,2003-04,10.50%,-,-,5' 11.75'',,7' 11.5'',190,6' 6'',-,-,-,-,-,6
Kyle Korver,SF,2003-04,6.70%,-,-,6' 6.25'',,8' 6.5'',211,6' 9.5'',11.42,-,3.47,25.5,31.5,13
James Lang,C-PF,2003-04,21.40%,-,-,6' 8.25'',,9' 2'',316,7' 6.25'',14.01,-,3.55,24.5,32,8
Donald Little,PF-C,2003-04,7.30%,-,-,6' 9.5'',,8' 1'',229,7' 3'',11.18,-,3.2,33,37,18
Chris Marcus,C,2003-04,23.10%,-,-,7' 0'',,9' 6'',334,7' 8'',-,-,-,-,-,12
Chris Massie,PF-C,2003-04,14.80%,-,-,6' 6.5'',,8' 10.5'',259,7' 1'',12.48,-,3.22,26.5,33,13
Will McDonald,C-PF,2003-04,13.60%,-,-,6' 9.5'',,9' 1.5'',258,7' 3.5'',11.83,-,3.42,25,32.5,17
Darko Milicic,PF,2003-04,8.00%,-,-,6' 11.5'',,9' 3.5'',250,7' 5'',11.3,-,3.36,26.5,32.5,13
Jeff Newton,PF,2003-04,5.30%,-,-,6' 8'',,8' 10'',199,7' 1'',11.18,-,3.23,27.5,34,9
Uche Nsonwu-Amadi,PF-C,2003-04,6.00%,-,-,6' 7.75'',,8' 10.5'',246,7' 3.75'',11.83,-,3.25,27.5,29,21
Ugonna Okyekwe,SF,2003-04,4.30%,-,-,6' 7.25'',,9' 1'',228,7' 3'',11.43,-,3.2,32,36.5,8
Marlon Parmer,PG,2003-04,9.30%,-,-,6' 0.75'',,8' 1'',184,6' 3.5'',-,-,3.42,28,32,13
Stephane Pelle,PF-SF,2003-04,12.40%,-,-,6' 7'',,8' 11'',246,7' 2'',11.37,-,3.27,28.5,33,17
Kirk Penney,SG-SF,2003-04,8.00%,-,-,6' 5'',,8' 1'',218,6' 5.25'',10.44,-,3.04,32,35.5,15
Pavel Podkolzin,C,2003-04,16.30%,-,-,7' 3.5'',,9' 8'',303,7' 5.75'',13.4,-,3.8,19.5,22.5,5
Josh Powell,PF-SF,2003-04,8.00%,-,-,6' 8'',,8' 11.5'',227,7' 1'',11.72,-,3.2,32.5,38.5,15
Hollis Price,PG-SG,2003-04,7.30%,-,-,5' 11.5'',,7' 10.5'',165,6' 4.5'',10.72,-,3.25,27.5,33,1
Luke Ridnour,PG,2003-04,5.30%,-,-,6' 1'',,7' 11.5'',167,6' 3'',11,-,3.28,26,32.5,-
Joe Shipp,SG,2003-04,11.70%,-,-,6' 4'',,8' 7'',224,6' 10'',11.75,-,3.2,29,34.5,17
Ron Slay,SF-PF,2003-04,16.30%,-,-,6' 6'',,8' 7.5'',236,6' 10'',12.01,-,3.43,28.5,31.5,10
Theron Smith,PF-SF,2003-04,9.30%,-,-,6' 6.5'',,8' 8.5'',234,6' 10.25'',10.99,-,3.1,28.5,32,25
Tommy Smith,PF-SF,2003-04,6.70%,-,-,6' 9'',,8' 11.5'',200,7' 2.5'',11.54,-,3.14,30,33,2
Marvin Stone,C-PF,2003-04,17.40%,-,-,6' 9.5'',,9' 1.5'',261,7' 3.5'',12.1,-,3.5,25.5,27.5,9
Michael Sweetney,PF,2003-04,14.10%,-,-,6' 7.25'',,8' 11.5'',262,7' 1'',12.9,-,3.28,26,31.5,3
Sasha Vujacic,PG-SG,2003-04,14.10%,-,-,6' 5.5'',,8' 5'',193,6' 5.5'',-,-,-,-,-,-
Dwyane Wade,SG-SF,2003-04,6.70%,-,-,6' 3.75'',,8' 6'',212,6' 10.75'',10.56,-,3.08,31.5,35,9
Wayne Wallace,PF,2003-04,4.60%,-,-,6' 7.25'',,9' 0'',187,7' 2'',11.85,-,3.24,29.5,36,6
Luke Walton,SF-PF,2003-04,9.30%,-,-,6' 7.75'',,8' 8'',235,6' 8.5'',-,-,-,28,-,12
David West,PF-SF,2003-04,8.00%,-,-,6' 8.25'',,9' 0.25'',226,7' 4.25'',12.18,-,3.43,28.5,31.5,11
Mo Williams,PG-SG,2003-04,6.70%,-,-,6' 0.75'',,8' 2.5'',189,6' 5.5'',-,-,-,-,-,3
Wesley Wilson,C-PF,2003-04,12.40%,-,-,6' 10.25'',,9' 2.5'',257,7' 3'',12.19,-,3.3,27,30.5,20
Doug Wrenn,SF-PF,2003-04,7.30%,-,-,6' 5.75'',,8' 4.5'',220,7' 7.5'',11.38,-,3.17,34.5,41,15
Derrick Zimmerman,PG,2003-04,5.30%,-,-,6' 1'',,8' .25'',190,6' 9'',11.09,-,3.1,34,40.5,13
Tony Allen,SG,2004-05,6.70%,-,-,6' 3.5'',6' 4.25'',8' 6'',214,6' 9'',10.7,-,3.19,31.5,36.5,17
Trevor Ariza,SG-SF,2004-05,8.00%,-,-,6' 7'',6' 8.25'',8' 11.5'',201,7' 2'',11.63,-,3.29,29.5,32,8
